,T,P1,P2,runoff
1/1/1931,3.6,1.6,1,3.91
1/2/1931,3.6,2.8,3.8,4.01
1/3/1931,5.4,0,0.1,3.91
1/4/1931,3.9,13.1,10.8,4.92
1/5/1931,0.5,0,0,4.67
1/6/1931,-3.6,0,0,3.91
1/7/1931,-4.4,0,0,3.3
1/8/1931,-3.8,0,0,3.14
1/9/1931,-4.8,0,0,3.14
1/10/1931,-6.9,0,0,3.14
1/11/1931,-7.9,0,0,2.97
1/12/1931,-7.1,0,0,2.97
1/13/1931,-3.3,0,0,2.97
1/14/1931,-2.3,0.9,0.3,2.97
1/15/1931,-1.7,0,0,2.97
1/16/1931,-0.7,11.3,2.5,2.72
1/17/1931,3,9.9,23.5,3.06
1/18/1931,0.5,5.2,11.2,2.81
1/19/1931,2.2,9.5,8,2.89
1/20/1931,4,0.3,0.3,3.3
1/21/1931,4,0,0,3.14
1/22/1931,-1,0,0,2.89
1/23/1931,3.3,0.4,0,2.89
1/24/1931,5.3,9.6,7.5,3.06
1/25/1931,2.7,5.9,6.7,3.5
1/26/1931,0.4,11.2,16,3.14
1/27/1931,1.9,3,2.9,2.97
1/28/1931,-1.7,13.5,11.3,2.81
1/29/1931,2,1.8,4.3,2.89
1/30/1931,0,0.8,2.8,2.81
1/31/1931,-1.5,0,0,2.64
2/1/1931,-2.5,1.6,0.7,2.56
2/2/1931,0.3,0,0,2.64
2/3/1931,0.3,0,0,2.56
2/4/1931,0.4,3.5,4,2.64
2/5/1931,-3.2,1.6,0.3,2.56
2/6/1931,-6.1,0,0,2.56
2/7/1931,-6.8,0.2,0.5,2.35
2/8/1931,-6.1,0,0,2.48
2/9/1931,-5.2,0,0,2.48
2/10/1931,0.1,2.7,2.2,2.35
2/11/1931,1.1,2.2,1.5,2.48
2/12/1931,1.5,5.5,6.1,2.48
2/13/1931,1,4.9,7.2,2.42
2/14/1931,-1.5,5.7,1.5,2.48
2/15/1931,-2.7,0.2,0,2.35
2/16/1931,-2.4,5.5,2.5,2.35
2/17/1931,-1,9.5,11.4,2.42
2/18/1931,-2.4,0,0,2.42
2/19/1931,-1.7,8.4,13.6,2.35
2/20/1931,-0.6,7.2,30.7,2.35
2/21/1931,0,5.6,6.5,2.29
2/22/1931,-0.6,6.9,2.4,2.35
2/23/1931,-1.5,0,0,2.42
2/24/1931,-3.3,0,0,2.29
2/25/1931,-1,0,2,2.23
2/26/1931,2.7,9.3,6.9,2.35
2/27/1931,3,5.3,2,2.81
2/28/1931,3.7,13.3,9.1,2.97
3/1/1931,-0.2,5.2,9.9,3.6
3/2/1931,-2.7,0.1,2,2.97
3/3/1931,-0.4,12.3,9,2.81
3/4/1931,3.3,61.6,47,4.43
3/5/1931,0.1,6,2.5,9.27
3/6/1931,1.5,9.6,3.6,6.37
3/7/1931,1.5,6.6,5.5,5.52
3/8/1931,-0.8,9.8,3.2,5.28
3/9/1931,-2.3,14,4.3,5.04
3/10/1931,-3.4,17.2,12.7,4.31
3/11/1931,-6.2,0,0,4.01
3/12/1931,-4.7,0,0,3.6
3/13/1931,-3.8,0,0,3.7
3/14/1931,1.2,0,0,3.4
3/15/1931,0.4,0,0,3.4
3/16/1931,0.4,0,0,3.7
3/17/1931,1.2,0,0,4.01
3/18/1931,3.1,0,0,4.67
3/19/1931,4.6,0,0,5.28
3/20/1931,7.4,0,0,6.79
3/21/1931,5.9,0.3,0,9.63
3/22/1931,4.2,1.2,0.9,9.27
3/23/1931,5.5,0,0,8.72
3/24/1931,6.7,0,0,9.45
3/25/1931,5.8,0,0,10.4
3/26/1931,3.3,0,0,10.4
3/27/1931,4.2,0,0,10.6
3/28/1931,7.2,0,0,10.8
3/29/1931,3.8,0,0,10.6
3/30/1931,3.2,0,0,10.2
3/31/1931,1.7,0,0,9.63
4/1/1931,2.2,0,0,9.08
4/2/1931,6.7,0.3,0,8.9
4/3/1931,8.6,0.5,5.5,8.54
4/4/1931,6.8,3.7,9.5,9.27
4/5/1931,6,0,0,10.2
4/6/1931,7.9,0.3,0,9.99
4/7/1931,8.9,0.5,0.7,10.6
4/8/1931,8.7,0,0,13
4/9/1931,9,0,0,14
4/10/1931,11.1,0,0,14.8
4/11/1931,10.2,0,0,16.1
4/12/1931,10.7,0,0,16.6
4/13/1931,10.5,0,0,18.2
4/14/1931,7.7,0,0,17.1
4/15/1931,7.6,1.5,1,14.8
4/16/1931,4.6,8.6,8.6,13.3
4/17/1931,5.9,3.4,2.8,12
4/18/1931,3.4,0.7,0,11
4/19/1931,3.5,0.8,0.5,9.45
4/20/1931,4.2,0,0,8.72
4/21/1931,5.3,6.1,0.2,8.22
4/22/1931,4.5,3.4,2,7.9
4/23/1931,7,0,0,7.41
4/24/1931,8.6,0,0,8.22
4/25/1931,11.9,6.3,3,9.81
4/26/1931,8.9,0.3,1.9,11.8
4/27/1931,7.6,4.8,3.5,11
4/28/1931,7.2,3.7,4,10.2
4/29/1931,5.6,3,4.3,9.08
4/30/1931,7.4,0,0,9.08
5/1/1931,10.1,0,0,10.2
5/2/1931,11.7,0,0,11.8
5/3/1931,11.7,0.3,0,14.8
5/4/1931,8.6,8.9,15,16.2
5/5/1931,8.6,0.1,0.2,15.5
5/6/1931,11.9,2.8,5.8,13.9
5/7/1931,9.4,2.5,2.8,15
5/8/1931,10.3,1.2,3.5,14.1
5/9/1931,9.6,3.4,2.8,13.5
5/10/1931,10.7,0,0,14.3
5/11/1931,12.1,0,0,16.4
5/12/1931,13.7,0,0,19.8
5/13/1931,14.7,0,0,23.2
5/14/1931,16.4,0,0,28.6
5/15/1931,17.3,0,0,37.3
5/16/1931,17.7,0,0,41
5/17/1931,13.7,1.8,2.7,40.2
5/18/1931,10.9,0.9,0.5,34.5
5/19/1931,12.9,1.5,2,29.7
5/20/1931,10.2,29.5,48.6,32.8
5/21/1931,11.5,0.8,1.5,43.9
5/22/1931,14.3,0.5,0,34.2
5/23/1931,16.7,0,0,38.8
5/24/1931,17,0.3,0,49.8
5/25/1931,19.6,0,0,61.7
5/26/1931,20.7,0,0,66.8
5/27/1931,19.8,0,0,68.8
5/28/1931,17.6,4.5,1.8,68.8
5/29/1931,18.9,0,0,61.7
5/30/1931,17.4,3.8,3,59
5/31/1931,10.5,11.1,5.8,54
6/1/1931,11.9,3.7,3,38.8
6/2/1931,9.9,0.5,3.3,31
6/3/1931,13.3,0,0,27.4
6/4/1931,17.2,0,0,30.6
6/5/1931,19.3,0,0,42.4
6/6/1931,15.6,8.5,14.4,49.4
6/7/1931,15.3,8.3,6.8,48.8
6/8/1931,16.7,0,0,48.8
6/9/1931,17.5,1.2,1,42.4
6/10/1931,17.9,0.1,0.3,46.5
6/11/1931,22,5.5,1,58.6
6/12/1931,22.5,18.1,0.5,73.5
6/13/1931,21.5,0,0,83.6
6/14/1931,20.2,26.1,12.3,83.2
6/15/1931,19.5,0,0,76.7
6/16/1931,19.6,0,0,63.3
6/17/1931,21.6,7.5,1.8,63.7
6/18/1931,14.7,4.7,9,62.1
6/19/1931,16.7,0,0,47.2
6/20/1931,16.5,15,7.5,46.9
6/21/1931,14.4,3.9,2,51.7
6/22/1931,18.2,0,0,50.2
6/23/1931,19.3,13.2,20.8,63.7
6/24/1931,17.6,25.2,37.9,69.1
6/25/1931,14.1,12.3,7,72.3
6/26/1931,15.9,0,0,55.1
6/27/1931,16.6,1.5,3.5,51.3
6/28/1931,17.3,15.3,3.2,52.5
6/29/1931,16.7,1.1,0,47.2
6/30/1931,19.6,0,0.9,47.2
7/1/1931,17.9,13.5,14.9,51.3
7/2/1931,19.2,0.4,0.6,60.6
7/3/1931,20.8,0,0.2,58.2
7/4/1931,15.7,12,13.7,69.5
7/5/1931,18.3,0,0,60.2
7/6/1931,17,3.4,1,52.9
7/7/1931,10.9,32.6,38.4,64.4
7/8/1931,13.4,0.1,0,48.8
7/9/1931,13.5,1.4,1.5,33.1
7/10/1931,16.9,0,0,31.7
7/11/1931,18.3,0,0,36.6
7/12/1931,20.5,0,0,42
7/13/1931,17.6,49.5,36.2,55.9
7/14/1931,17,0.3,0.2,69.9
7/15/1931,12.9,11.3,13.8,62.9
7/16/1931,15.1,0,0,43.9
7/17/1931,16.8,0.3,0,33.4
7/18/1931,16.8,0.1,0.2,33.8
7/19/1931,17.2,20,17,42.4
7/20/1931,10.7,14.2,17.9,60.6
7/21/1931,10.2,5.1,2.8,41
7/22/1931,12,0,0,32
7/23/1931,16.2,0,0,31
7/24/1931,17.7,9.1,9.5,39.2
7/25/1931,16.7,3.1,10.3,49.8
7/26/1931,16.5,0,0,46.1
7/27/1931,17.5,21.2,22.2,47.2
7/28/1931,12.1,3.8,10.3,77.1
7/29/1931,13.2,0,0,48
7/30/1931,16.5,0,0,41
7/31/1931,18.1,0,0,42.8
8/1/1931,18.1,1.7,1.2,46.9
8/2/1931,17.5,12.8,21.4,57.4
8/3/1931,17.2,15.8,0,67.6
8/4/1931,19.2,0,0,52.1
8/5/1931,18.2,17.5,10,55.5
8/6/1931,17.4,17.6,10.8,63.3
8/7/1931,15.6,3.5,12.2,69.1
8/8/1931,17.1,7.3,8.2,52.1
8/9/1931,11.4,8.8,14.5,57.4
8/10/1931,10.5,4.4,4.5,45.4
8/11/1931,11.6,5.1,3.3,33.1
8/12/1931,12.9,0,0.1,30.6
8/13/1931,13.9,0,0,28.6
8/14/1931,13.5,1.2,2,27.7
8/15/1931,14.7,22.8,13.7,38.8
8/16/1931,16.9,2.4,1.6,41.7
8/17/1931,16.2,1,0.2,32.4
8/18/1931,13.9,11,4,31
8/19/1931,17.4,8.9,16.7,48
8/20/1931,12.6,10.5,20.4,70.7
8/21/1931,12.7,0.6,1.1,46.1
8/22/1931,13,3.2,3.5,31.4
8/23/1931,13,4.3,4.1,32.4
8/24/1931,12.9,8.4,6.1,29.4
8/25/1931,15.9,17.3,17.9,36.6
8/26/1931,11.4,0.2,0.4,48.4
8/27/1931,11.5,0,0,31.4
8/28/1931,11.6,0,0,26
8/29/1931,13.9,0,0,24.1
8/30/1931,13,12.5,7,26.6
8/31/1931,13.5,10,11,28.3
9/1/1931,13.5,2.9,1.7,27.7
9/2/1931,14.3,0.1,0,23.8
9/3/1931,13.8,14.8,19,31.4
9/4/1931,11.4,7.5,9,37.3
9/5/1931,10.4,4.4,3.1,27
9/6/1931,8.2,1.1,0.3,20
9/7/1931,8.7,0.2,0,17.2
9/8/1931,10.1,0,0,15.7
9/9/1931,11.1,0,0,15.5
9/10/1931,11.6,7.2,7.2,15.3
9/11/1931,12.5,21.6,17.8,17
9/12/1931,8.1,11.9,5.5,30.3
9/13/1931,9.9,0,0,20.9
9/14/1931,10.1,0,0,17.4
9/15/1931,7.6,0,0,15
9/16/1931,10,0,0,13.9
9/17/1931,11.4,0.1,1,12.8
9/18/1931,12.2,0,0,12.6
9/19/1931,12.8,0,0,12.6
9/20/1931,13.4,0.1,0.2,12.2
9/21/1931,7.9,2.3,2.5,12
9/22/1931,5.1,11.7,4.5,10.3
9/23/1931,4,1,1.2,9.65
9/24/1931,4.1,0.1,0,8.95
9/25/1931,5.6,0,0,8.95
9/26/1931,8.5,0,0,9.12
9/27/1931,8.1,0,0,9.12
9/28/1931,10,0,0,9.12
9/29/1931,9.2,0,0,8.63
9/30/1931,8.7,0,0,8.48
10/1/1931,10.5,0,0,8.32
10/2/1931,12.8,0,0,8.63
10/3/1931,14.5,0,0,9.12
10/4/1931,12.2,0,0,9.65
10/5/1931,11.7,0,0,9.65
10/6/1931,13,0,0,10.3
10/7/1931,12,4.4,2.8,10.7
10/8/1931,10.5,0,0,10.5
10/9/1931,9,0,0,8.79
10/10/1931,11.5,0,0,8.63
10/11/1931,10.6,0,0,8.32
10/12/1931,11.2,0,0,8.01
10/13/1931,11.4,0,0,7.69
10/14/1931,12.5,0,0,7.38
10/15/1931,6.1,0,0,6.96
10/16/1931,4.6,0,0,6.26
10/17/1931,4.2,0,0,6.12
10/18/1931,5.4,0,0,5.98
10/19/1931,5.8,0,0,5.86
10/20/1931,7.7,0.2,0.2,5.61
10/21/1931,6.9,0,0,5.49
10/22/1931,5.2,0,0,4.99
10/23/1931,9.7,4.1,2.2,4.87
10/24/1931,12.8,5.5,5.2,7.38
10/25/1931,6.9,10.4,6.6,8.63
10/26/1931,1.9,0.4,0.9,8.32
10/27/1931,2.6,0.1,0,6.12
10/28/1931,1.7,0,0,5.36
10/29/1931,3.2,0.4,1,4.87
10/30/1931,7.4,4,7.4,4.53
10/31/1931,8.2,0,0,4.42
11/1/1931,4.1,0,0,4.22
11/2/1931,3.8,0,0,4
11/3/1931,5.4,0,0,4.11
11/4/1931,7.6,0,0,3.78
11/5/1931,8.4,0,0,3.78
11/6/1931,7.7,0,0,3.68
11/7/1931,6.8,1.4,3.8,3.89
11/8/1931,5.6,0,0,3.89
11/9/1931,6.5,6.4,1.8,3.78
11/10/1931,8.2,0.8,2,3.68
11/11/1931,6.8,0.6,2.2,3.58
11/12/1931,6.7,0,0,3.49
11/13/1931,6.2,0,0,3.31
11/14/1931,6.1,0,0,3.13
11/15/1931,6.5,0.5,0,3.13
11/16/1931,6.1,0.2,0,3.13
11/17/1931,4.9,8.3,6.5,2.94
11/18/1931,4.9,0,0.1,3.04
11/19/1931,3,0,0,2.94
11/20/1931,3.1,0,0,2.94
11/21/1931,3,0,0,2.85
11/22/1931,2.7,0,0,2.76
11/23/1931,3.4,0.1,0,2.85
11/24/1931,5.9,0,0.1,2.85
11/25/1931,7.2,0,0,2.85
11/26/1931,8.2,0,0,2.85
11/27/1931,4.9,5.2,4.5,2.94
11/28/1931,3.7,0.2,0.3,2.76
11/29/1931,3.2,0.9,0.3,2.6
11/30/1931,3.3,0,0,2.6
12/1/1931,1.2,0,0,2.21
12/2/1931,0.2,0,0,2.06
12/3/1931,0.1,8.5,11.5,1.98
12/4/1931,7.9,9.3,6,4.32
12/5/1931,8.9,0,0.2,6.26
12/6/1931,6.7,7.7,4.5,4.53
12/7/1931,7.1,7.7,8.2,4.99
12/8/1931,6.6,0,0,4.53
12/9/1931,1.6,0,0,3.89
12/10/1931,3.2,10.2,8.8,3.4
12/11/1931,-0.8,0.9,5,3.49
12/12/1931,-4.1,0,0,2.85
12/13/1931,-2.5,0,0,2.68
12/14/1931,-2.2,0,0,2.85
12/15/1931,-2,0,0,2.76
12/16/1931,0.5,0.6,0,2.68
12/17/1931,-2.2,0,0.2,2.68
12/18/1931,-5.3,0,0,2.13
12/19/1931,-7.1,0,0,2.29
12/20/1931,-7.4,0.1,0,2.52
12/21/1931,-6.4,0,0,2.06
12/22/1931,-7.1,0,0,2.13
12/23/1931,-4.2,0,0,1.98
12/24/1931,-3.4,0,0,1.98
12/25/1931,-1.9,0,0,2.13
12/26/1931,-0.3,0,0,1.98
12/27/1931,1.8,0,0,2.06
12/28/1931,0.8,0,0,2.13
12/29/1931,0.2,7.5,6.6,1.98
12/30/1931,-3.5,4.3,0.2,1.98
12/31/1931,-5.4,0.5,0.1,2.06
1/1/1932,-8.4,0,0,1.92
1/2/1932,-2.5,43.9,39.7,1.98
1/3/1932,2.2,15.6,16,3.4
1/4/1932,3.3,0,0.4,5.36
1/5/1932,0.2,0,0,3.22
1/6/1932,1.3,1.5,1,2.85
1/7/1932,4.1,22.1,8.1,4.32
1/8/1932,3.2,13.2,11.8,6.96
1/9/1932,1.6,0.3,1.4,5.73
1/10/1932,1.2,0,0,4.11
1/11/1932,4.3,0,0,3.89
1/12/1932,2.3,0,0,3.4
1/13/1932,2.8,0,0,3.13
1/14/1932,3.3,0,0,2.94
1/15/1932,1.6,0,0,2.94
1/16/1932,0.9,0,0,2.85
1/17/1932,0.6,0,0,2.68
1/18/1932,0.5,0,0,2.6
1/19/1932,-0.6,0,0,2.6
1/20/1932,0,0,0,2.45
1/21/1932,-0.6,0,0,2.45
1/22/1932,1.4,1.6,0,2.37
1/23/1932,1.7,0,0,2.29
1/24/1932,-0.5,0,0,2.13
1/25/1932,-1.6,0,0,2.13
1/26/1932,-2.1,0,0,2.06
1/27/1932,-3.1,0,0,2.13
1/28/1932,-2,0,0,2.06
1/29/1932,-1.7,0,0,2.06
1/30/1932,-0.8,0,0,2.06
1/31/1932,-2.4,0,0,1.98
2/1/1932,-1.9,0,0,1.98
2/2/1932,-1.2,0,0,1.92
2/3/1932,0.3,0,0,1.92
2/4/1932,-0.9,0,0,1.85
2/5/1932,-0.2,0,0,1.85
2/6/1932,-1.2,0,0,1.92
2/7/1932,0.1,0,0,2.06
2/8/1932,-0.3,0,0,2.06
2/9/1932,-0.5,6.7,4,2.06
2/10/1932,-7.3,3.2,3.5,1.98
2/11/1932,-10.5,0.8,0.2,1.78
2/12/1932,-11.7,0.1,0,1.85
2/13/1932,-11.1,0,0,2.06
2/14/1932,-7.9,0,0,1.72
2/15/1932,-7,0,0,1.78
2/16/1932,-5,0,0,1.59
2/17/1932,-2.9,0,0,1.72
2/18/1932,-4.4,0,0,1.72
2/19/1932,-5.3,0,0,1.78
2/20/1932,-2.7,0,0,1.66
2/21/1932,-3.1,0,0,1.72
2/22/1932,-3.6,0,0,1.59
2/23/1932,-3.5,0,0,1.59
2/24/1932,2.4,0,0,1.66
2/25/1932,1.9,0,0,1.66
2/26/1932,-1.5,0,0,1.59
2/27/1932,-2.3,0.5,0.2,1.52
2/28/1932,-4.5,0,0,1.52
2/29/1932,-4.7,0,0,1.59
3/1/1932,-1.8,0,0,1.59
3/2/1932,0.3,0,0,1.52
3/3/1932,3.3,0,0,1.59
3/4/1932,4.9,0,0,1.66
3/5/1932,3.8,0,0,1.72
3/6/1932,2.2,1,3.9,1.78
3/7/1932,0.9,2.5,3,1.72
3/8/1932,2.7,8.4,9.2,1.66
3/9/1932,2.5,40.1,18.9,2.13
3/10/1932,-0.6,8.5,12.4,1.98
3/11/1932,-0.7,0,1,1.72
3/12/1932,-1.7,1.2,4.8,1.66
3/13/1932,-2.7,0,0,1.59
3/14/1932,0.1,0,0,1.66
3/15/1932,2.1,0,0,1.98
3/16/1932,4.8,0,0.1,2.52
3/17/1932,3.7,9.7,5.2,3.04
3/18/1932,1.9,0,1.2,3.04
3/19/1932,1.8,0,0,2.37
3/20/1932,2.9,0,0,2.21
3/21/1932,2.9,0,0,2.13
3/22/1932,1.2,1.5,1.4,2.21
3/23/1932,0.5,0,0,1.98
3/24/1932,-0.8,0,0,2.06
3/25/1932,0.3,0,0,2.13
3/26/1932,4.7,0,0,2.37
3/27/1932,5.6,0,0,2.76
3/28/1932,5.6,19.5,14,3.31
3/29/1932,5.9,1.5,3.9,4.32
3/30/1932,7.9,0,0,3.68
3/31/1932,3.7,7.3,4,3.78
4/1/1932,4.9,2.6,4.4,3.58
4/2/1932,6.3,0,0,3.89
4/3/1932,7.9,0,0,4.32
4/4/1932,10,3.2,5.5,4.99
4/5/1932,7,10.7,19,9.3
4/6/1932,4.7,0,1.7,6.54
4/7/1932,10.4,3.8,3.8,5.49
4/8/1932,3,7.3,9.1,5.61
4/9/1932,4.2,1.5,0,4.87
4/10/1932,7.5,0,0,5.12
4/11/1932,2,11.4,11,6.4
4/12/1932,1.7,0.2,1.2,5.12
4/13/1932,0.5,3.4,1.5,4.53
4/14/1932,1.5,0,0,4.32
4/15/1932,2.8,0,0,4.22
4/16/1932,4.2,0,0,4.11
4/17/1932,6.2,0,0,4.11
4/18/1932,5.8,18.5,12,4.22
4/19/1932,4,10.4,8.1,4.53
4/20/1932,3.7,0,0.3,4.42
4/21/1932,5.7,0,0,4.64
4/22/1932,9,0,0,5.73
4/23/1932,7.3,13.5,11.5,6.54
4/24/1932,5.6,7.6,7.6,7.1
4/25/1932,7.8,0.2,0.3,7.24
4/26/1932,6.4,16.2,6,7.85
4/27/1932,7.3,0,0,9.12
4/28/1932,11.1,0,0,9.3
4/29/1932,13,0,0,12
4/30/1932,12.4,0,0,16.4
5/1/1932,11.9,32.6,39.5,20.6
5/2/1932,6.7,9,13.8,33.2
5/3/1932,9.3,3.2,1.5,19.8
5/4/1932,7.1,4,3.5,17
5/5/1932,10,0,0,15.5
5/6/1932,9,0,0,15.3
5/7/1932,7.7,25.8,17.2,17
5/8/1932,3.8,3,0.8,18.2
5/9/1932,6.7,5.2,6.8,14.1
5/10/1932,6.2,0.6,1.6,13
5/11/1932,7.6,21.3,17.1,11.6
5/12/1932,12.2,0,0,25.1
5/13/1932,14.3,0,0,25.4
5/14/1932,17.4,0,0,28.6
5/15/1932,18.5,0,0,37.5
5/16/1932,14.6,0.7,5.2,40.2
5/17/1932,18.5,0.2,0.2,40.6
5/18/1932,14.3,0,0,33.8
5/19/1932,16.5,0,0,35.2
5/20/1932,17.9,0,0,41.4
5/21/1932,19,5.3,2,47.6
5/22/1932,8.6,14.2,13,46.9
5/23/1932,11.4,2.3,2.5,31.7
5/24/1932,9.2,2.2,7.5,26
5/25/1932,11,6.5,6,22.3
5/26/1932,9,0.6,15.3,21.8
5/27/1932,10.2,3,0.2,20
5/28/1932,10.4,14.3,15.2,18.7
5/29/1932,7.1,8.1,7.3,20.9
5/30/1932,10.9,8.1,3.1,19
5/31/1932,10.9,0.1,0.2,19
6/1/1932,13.2,0.2,0,19.6
6/2/1932,15.5,0,8.6,21.8
6/3/1932,15.4,0.5,0,24.1
6/4/1932,15.2,0.5,0.8,27.7
6/5/1932,13.6,4.7,3.3,30
6/6/1932,12,19.5,10.6,32.8
6/7/1932,7.6,7.5,6,30.3
6/8/1932,8.2,1.1,1,24.4
6/9/1932,10.3,0,0,21.5
6/10/1932,14.1,0,0,23.8
6/11/1932,15.9,0,0,27.7
6/12/1932,17.2,0,0,30.3
6/13/1932,16.5,0,0,34.2
6/14/1932,17.7,0,1.3,37.3
6/15/1932,15.6,7.6,14.2,40.2
6/16/1932,16.6,0.2,0.4,37.6
6/17/1932,15.2,0,0,41
6/18/1932,14.1,0,0,39.5
6/19/1932,16.5,8.1,3.9,39.8
6/20/1932,16,22.8,10.5,42
6/21/1932,11.6,18.2,19.2,53.1
6/22/1932,10.4,0.4,0.7,41.8
6/23/1932,9.9,18.9,12.6,28.3
6/24/1932,9.8,3.5,3.5,26
6/25/1932,11.6,4.1,2.4,22.3
6/26/1932,14,0,0,23.5
6/27/1932,17.1,0,0,29
6/28/1932,17.2,16.4,12,39.2
6/29/1932,16.2,3.2,2.1,50.2
6/30/1932,19.9,0.7,0,41.4
7/1/1932,18.5,15.5,10,42.4
7/2/1932,11.9,31.3,33.8,80.5
7/3/1932,14.4,0,0,59
7/4/1932,17.1,0,0,47.6
7/5/1932,19.5,0.2,0,51
7/6/1932,17.1,6.6,1,54.8
7/7/1932,16.2,7.6,2,50.6
7/8/1932,13.6,13.2,15.6,51
7/9/1932,15,7,6.6,51.7
7/10/1932,16.4,0.1,0,55.1
7/11/1932,17.8,3.1,3,61.3
7/12/1932,18.7,0.2,0.6,58.2
7/13/1932,19.9,13.7,11.4,55.9
7/14/1932,15.7,7.1,1.2,81.6
7/15/1932,14,17,12.7,69.2
7/16/1932,14.5,4.6,5.6,61.7
7/17/1932,15.5,1.1,5.6,56.3
7/18/1932,14.8,1.3,2.1,49.8
7/19/1932,16.2,0.2,0.4,46.9
7/20/1932,15,11.5,10.7,51
7/21/1932,13.6,8.6,4.8,49.8
7/22/1932,14.6,5.6,14,45.8
7/23/1932,10.9,8.7,11.3,52.5
7/24/1932,13.4,0,0,42
7/25/1932,13.9,0.7,0.3,37.6
7/26/1932,13.9,2.2,6,41
7/27/1932,14.6,0.2,0.6,34.5
7/28/1932,15.4,0,0,33.8
7/29/1932,16.7,0,0,36.2
7/30/1932,18.2,0,0,35.9
7/31/1932,18.8,1.1,0.6,37.6
8/1/1932,18.5,13.6,19.6,48
8/2/1932,12,11.3,17,62.5
8/3/1932,13,14.7,12.9,49.8
8/4/1932,12.3,5.3,9.1,43.9
8/5/1932,13.7,0.5,1,38
8/6/1932,15.3,0,0,32
8/7/1932,19,0,0,34.2
8/8/1932,18.3,0,0,38.8
8/9/1932,18.5,0,0,37
8/10/1932,19,0,0,38.8
8/11/1932,21.2,0,0,42.4
8/12/1932,20.4,1.4,7.6,47.2
8/13/1932,20.6,0.4,7,45.8
8/14/1932,20.5,0.1,0.8,47.6
8/15/1932,21.1,0,0,48.8
8/16/1932,21.8,0,0,50.2
8/17/1932,21.5,0,0,51.3
8/18/1932,22.5,0,0,47.2
8/19/1932,21.5,0,0,42.8
8/20/1932,22,0,0,47.2
8/21/1932,19.8,21.1,11.6,52.6
8/22/1932,20,0,0.3,58
8/23/1932,21.4,7.8,6.5,49.4
8/24/1932,18.7,0.2,6,51.7
8/25/1932,19.7,0,0,43.2
8/26/1932,20.5,0,0,44.7
8/27/1932,21.1,0,0,44.3
8/28/1932,18.1,0,0.2,40.2
8/29/1932,16,8.2,0.8,35.6
8/30/1932,18.1,3,12.1,40.6
8/31/1932,17.4,1.8,1.9,40.2
9/1/1932,15.8,5.3,2.3,33.1
9/2/1932,16,0,0,28.6
9/3/1932,17.4,0,0,32
9/4/1932,16.2,7.9,3.1,37
9/5/1932,17.1,0,0,27.7
9/6/1932,16.4,0,0,25.7
9/7/1932,17.3,0,0,29.4
9/8/1932,16,0,0,28.3
9/9/1932,19.2,0,0,28.6
9/10/1932,17.5,3.9,1.2,33.8
9/11/1932,18.3,0,0,38.8
9/12/1932,18.7,0,0,39.5
9/13/1932,17.8,0,0,33.1
9/14/1932,18.1,0,0,32.8
9/15/1932,17.5,0,0,31.4
9/16/1932,17.4,0,0,29.7
9/17/1932,18.1,0,0,30.3
9/18/1932,17,6.7,9.5,29
9/19/1932,17,0.1,0,28.6
9/20/1932,17.7,0.1,0.3,27
9/21/1932,15.7,0.8,12.7,33.3
9/22/1932,13.7,0,0,26.6
9/23/1932,15.6,0.3,0.6,25.4
9/24/1932,14.4,2.5,2,24.8
9/25/1932,14.4,2.1,1.9,21.7
9/26/1932,15.4,1.5,0.3,19.2
9/27/1932,10.6,1.2,0.4,16.4
9/28/1932,11.5,0,0,14.8
9/29/1932,12.8,0.5,1.6,20.3
9/30/1932,12.6,1.3,1.8,32.4
10/1/1932,10.7,0,0,22
10/2/1932,11.9,3.4,12.2,17.1
10/3/1932,13.3,6.1,4,20.6
10/4/1932,6.4,3.7,0.1,17.1
10/5/1932,5.4,0,0,11.5
10/6/1932,6.4,0,0,10.1
10/7/1932,8.2,0.3,0.2,9.38
10/8/1932,11.5,0,0,9
10/9/1932,9.7,3.7,5.6,9.93
10/10/1932,8.8,2.8,3.8,9.38
10/11/1932,8.8,0,0.8,7.96
10/12/1932,8.5,0,0,7.13
10/13/1932,9.5,0,0,6.66
10/14/1932,11.3,4.4,5.2,6.66
10/15/1932,8.5,4,4.1,6.66
10/16/1932,8.1,2.8,1.4,6.08
10/17/1932,8.8,0.6,0.5,6.36
10/18/1932,10.6,2,0.5,6.51
10/19/1932,5.6,2,0.5,6.22
10/20/1932,7.9,0,0,5.65
10/21/1932,9.5,0,0,6.22
10/22/1932,9.5,0,0,6.08
10/23/1932,11.4,0.6,0,6.08
10/24/1932,10.9,12.2,14.2,6.8
10/25/1932,5.4,9.8,14.5,11.1
10/26/1932,6,42.9,13.2,23.8
10/27/1932,7.8,3.4,0.8,30.3
10/28/1932,5.4,0.5,0.9,16.8
10/29/1932,3.9,3.5,2,12.2
10/30/1932,3.1,11,4.6,10.1
10/31/1932,2.5,23.8,22.5,9.19
11/1/1932,2.2,5.1,0.5,8.45
11/2/1932,3,0,0.3,7.62
11/3/1932,5.1,0,0,7.62
11/4/1932,4.6,0,0,8.28
11/5/1932,4.8,0,0,8.12
11/6/1932,3.8,0,0,7.62
11/7/1932,3.3,3.8,0.3,7.3
11/8/1932,5.9,0,0,6.96
11/9/1932,5,0,0.2,6.66
11/10/1932,6.2,0,0,6.66
11/11/1932,5.2,0,0,6.66
