station,day,max_temp_f
IIB,22.08.22,79.5
IIB,23.08.22,79.9
IIB,24.08.22,81.5
IIB,25.08.22,80.2
IIB,26.08.22,79.7
IIB,27.08.22,83.3
IIB,28.08.22,80.8
IIB,29.08.22,78.1
IIB,30.08.22,76.8
IIB,31.08.22,83.3
IIB,01.09.22,83.5
IIB,02.09.22,84.9
IIB,03.09.22,71.8
IIB,04.09.22,73.4
IIB,05.09.22,75.2
IIB,06.09.22,79.9
IIB,07.09.22,82.4
IIB,08.09.22,80.2
IIB,09.09.22,83.7
IIB,10.09.22,64.9
IIB,11.09.22,69.3
IIB,12.09.22,71.4
IIB,13.09.22,75.4
IIB,14.09.22,79.5
IIB,15.09.22,82.8
IIB,16.09.22,83.7
IIB,17.09.22,72.1
IIB,18.09.22,81
IIB,19.09.22,81.1
IIB,20.09.22,93.6
IIB,21.09.22,73.8
IIB,22.09.22,64.6
IIB,23.09.22,57.9
IIB,24.09.22,75.6
IIB,25.09.22,71.4
IIB,26.09.22,66
IIB,27.09.22,64
IIB,28.09.22,62.6
IIB,29.09.22,66.4
IIB,30.09.22,70.7
IIB,01.10.22,73.6
IIB,02.10.22,74.7
IIB,03.10.22,73.4
IIB,04.10.22,75.2
IIB,05.10.22,60.3
IIB,06.10.22,65.3
IIB,07.10.22,54
IIB,08.10.22,59.4
IIB,09.10.22,73.6
IIB,10.10.22,74.5
IIB,11.10.22,71.6
IIB,12.10.22,65.7
IIB,13.10.22,46.4
IIB,14.10.22,52.9
IIB,15.10.22,60.8
IIB,16.10.22,51.4
IIB,17.10.22,41.9
IIB,18.10.22,45.9
IIB,19.10.22,48.4
IIB,20.10.22,65.1
IIB,21.10.22,76.3
IIB,22.10.22,82.6
IIB,23.10.22,76.6
IIB,24.10.22,65.5
IIB,25.10.22,
IIB,26.10.22,
IIB,27.10.22,
IIB,28.10.22,
IIB,29.10.22,
IIB,30.10.22,
IIB,31.10.22,
IIB,01.11.22,
IIB,02.11.22,
IIB,03.11.22,
IIB,04.11.22,
IIB,05.11.22,
IIB,06.11.22,
IIB,07.11.22,
IIB,08.11.22,
IIB,09.11.22,
IIB,10.11.22,70.3
IIB,11.11.22,31.1
IIB,12.11.22,30.6
IIB,13.11.22,29.7
IIB,14.11.22,37.6
IIB,15.11.22,32.4
IIB,16.11.22,29.5
IIB,17.11.22,31.3
IIB,18.11.22,21.2
IIB,19.11.22,22.8
IIB,20.11.22,39.9
IIB,21.11.22,39.9
IIB,22.11.22,49.3
IIB,23.11.22,54.7
IIB,24.11.22,52.9
IIB,25.11.22,49.8
IIB,26.11.22,53.2
IIB,27.11.22,45.7
IIB,28.11.22,46.6
IIB,29.11.22,46.4
IIB,30.11.22,23.4
IIB,01.12.22,36.5
IIB,02.12.22,49.5
IIB,03.12.22,23
IIB,04.12.22,39.6
IIB,05.12.22,38.8
IIB,06.12.22,38.8
IIB,07.12.22,35.6
IIB,08.12.22,37.8
IIB,09.12.22,34.5
IIB,10.12.22,37.4
IIB,11.12.22,34.5
IIB,12.12.22,35.8
IIB,13.12.22,36
IIB,14.12.22,48.9
IIB,15.12.22,32.4
IIB,16.12.22,22.8
IIB,17.12.22,20.7
IIB,18.12.22,10.8
IIB,19.12.22,26.4
IIB,20.12.22,26.6
IIB,21.12.22,18.9
IIB,22.12.22,17.1
IIB,23.12.22,-1.7
IIB,24.12.22,7.5
IIB,25.12.22,12
IIB,26.12.22,12.2
IIB,27.12.22,25.2
IIB,28.12.22,39.2
IIB,29.12.22,52.2
IIB,30.12.22,32
IIB,31.12.22,33.3
